Iteration,Phase,Loss,Reward,Entropy,WinRate,DealInRate,MeanShantenRed
178,1,0.0813,0.0061,1.3133,0.6774,0.1935,6.3441
179,1,0.1330,0.0088,1.2923,0.6544,0.1471,6.1324
180,1,0.0810,0.0063,1.2456,0.5870,0.1848,6.5978
181,1,0.1053,0.0065,1.2859,0.6341,0.2276,6.7642
182,1,0.1237,0.0077,1.3003,0.6449,0.1495,6.2804
183,1,0.1039,0.0058,1.2854,0.5351,0.1667,6.6140
184,1,0.1105,0.0071,1.2795,0.5444,0.2000,6.4889
185,1,0.1093,0.0078,1.2718,0.5182,0.1971,6.2117
186,1,0.1257,0.0075,1.2615,0.5843,0.1685,6.4157
187,1,0.1311,0.0071,1.2694,0.6562,0.1875,6.4297
188,1,0.1153,0.0079,1.2894,0.6577,0.1441,6.2613
189,1,0.1214,0.0060,1.2795,0.6818,0.2091,6.4000
190,1,0.1116,0.0071,1.3002,0.6263,0.1717,6.4747
191,1,0.1216,0.0064,1.2649,0.6080,0.1920,6.1440
192,1,0.1183,0.0048,1.2854,0.5620,0.1818,6.6281
193,1,0.1226,0.0070,1.2783,0.6628,0.1977,6.2907
194,1,0.1147,0.0066,1.2823,0.7302,0.2063,6.2619
195,1,0.1114,0.0066,1.2725,0.7033,0.2198,6.8791
196,1,0.1212,0.0054,1.3076,0.6471,0.2605,6.6218
197,1,0.1131,0.0071,1.2671,0.7179,0.2222,6.3419
198,1,0.0923,0.0075,1.3028,0.6931,0.1386,6.2475
199,1,0.1087,0.0049,1.2251,0.6273,0.1727,6.3818
200,1,0.1189,0.0081,1.2643,0.5982,0.1964,6.2946
201,1,0.1166,0.0095,1.2969,0.6410,0.1880,6.1709
202,1,0.1326,0.0074,1.2432,0.6033,0.1653,6.5124
203,1,0.1068,0.0074,1.3194,0.5979,0.1856,6.2680
204,1,0.1312,0.0066,1.2768,0.6937,0.2252,6.4775
205,1,0.0965,0.0070,1.2830,0.6050,0.2269,6.4538
206,1,0.1304,0.0078,1.2510,0.6491,0.1754,6.2982
207,1,0.0993,0.0055,1.2872,0.6449,0.2056,6.5421
208,1,0.1102,0.0071,1.2634,0.6182,0.1545,6.4273
209,1,0.1070,0.0071,1.2728,0.5636,0.1818,6.2545
210,1,0.1416,0.0094,1.2694,0.4385,0.1923,6.2769
211,1,0.0948,0.0051,1.2593,0.6988,0.0964,6.3735
212,1,0.1269,0.0094,1.2712,0.6385,0.1615,6.5769
213,1,0.1045,0.0070,1.2552,0.7895,0.2421,6.6211
214,1,0.1194,0.0078,1.3153,0.6486,0.1712,6.1982
215,1,0.1300,0.0068,1.2156,0.5227,0.1818,6.4924
216,1,0.1183,0.0078,1.2596,0.7273,0.2045,6.5795
217,1,0.1267,0.0062,1.2765,0.6937,0.1802,6.7658
218,1,0.0882,0.0057,1.2593,0.5446,0.1485,6.2673
219,1,0.1013,0.0047,1.2925,0.6446,0.1818,6.5950
220,1,0.0930,0.0056,1.2869,0.7699,0.1504,6.4336
221,1,0.1110,0.0068,1.2740,0.6373,0.2157,6.5098
222,1,0.1383,0.0096,1.2509,0.6404,0.1842,6.2105
223,1,0.1085,0.0058,1.2795,0.5667,0.2167,6.4000
224,1,0.1149,0.0077,1.2983,0.5872,0.2844,6.2110
225,1,0.1259,0.0057,1.2672,0.5614,0.1754,6.4649
226,1,0.1312,0.0076,1.2546,0.7170,0.2170,6.8113
227,1,0.0936,0.0067,1.2587,0.7419,0.2366,6.6129
228,1,0.1079,0.0065,1.2523,0.7364,0.1395,6.6434
229,1,0.1095,0.0063,1.2849,0.7684,0.1895,6.5368
230,1,0.1344,0.0037,1.2846,0.5526,0.1491,6.2719
231,1,0.1074,0.0059,1.2657,0.6724,0.1724,6.5000
232,1,0.0940,0.0071,1.2998,0.7075,0.2170,6.4340
233,1,0.1141,0.0080,1.2906,0.5122,0.1057,6.1382
234,1,0.0989,0.0072,1.2561,0.7143,0.1619,6.5905
235,1,0.1004,0.0061,1.3118,0.5727,0.1818,6.5273
236,1,0.1193,0.0070,1.2611,0.7105,0.1930,6.9649
237,1,0.1038,0.0087,1.2551,0.6889,0.2111,6.2222
238,1,0.0873,0.0059,1.2941,0.7054,0.1339,6.5625
239,1,0.0924,0.0063,1.3060,0.5669,0.1654,6.0866
240,1,0.1060,0.0063,1.2603,0.4752,0.2079,6.2376
241,1,0.1211,0.0064,1.2930,0.6364,0.1736,6.6281
242,1,0.1112,0.0077,1.2829,0.5701,0.2056,6.5327
243,1,0.1411,0.0062,1.3038,0.6505,0.1845,6.1359
244,1,0.1111,0.0067,1.2755,0.7063,0.1349,6.1349
245,1,0.0808,0.0063,1.2822,0.5741,0.1759,6.3148
246,1,0.1094,0.0067,1.2745,0.6020,0.2041,6.3265
247,1,0.1163,0.0078,1.2961,0.6099,0.1560,6.2199
248,1,0.1284,0.0091,1.2916,0.6392,0.1959,6.2062
249,1,0.1012,0.0056,1.3098,0.5472,0.1509,6.6132
250,1,0.0970,0.0059,1.3160,0.5913,0.1739,6.1739
251,1,0.1060,0.0080,1.2885,0.6116,0.2231,6.2645
252,1,0.0926,0.0062,1.2855,0.6952,0.1333,6.4476
253,1,0.1178,0.0072,1.3042,0.5664,0.1593,6.4602
254,1,0.1116,0.0059,1.2557,0.6574,0.1944,6.5370
255,1,0.1209,0.0078,1.2867,0.6339,0.2054,6.4554
256,1,0.1056,0.0060,1.2877,0.6762,0.1905,6.4476
257,1,0.1196,0.0052,1.2880,0.6667,0.1583,6.4833
258,1,0.1316,0.0083,1.2744,0.7115,0.1538,6.5000
259,1,0.0927,0.0065,1.2785,0.5478,0.1391,6.4783
260,1,0.1252,0.0087,1.2899,0.5208,0.1250,6.4792
261,1,0.1333,0.0095,1.2868,0.5397,0.1429,6.4127
262,1,0.1145,0.0073,1.2860,0.6053,0.1842,6.3158
263,1,0.1076,0.0060,1.2794,0.5421,0.1776,6.3364
264,1,0.1061,0.0056,1.2659,0.5965,0.2105,6.3070
265,1,0.1057,0.0057,1.2798,0.7282,0.2039,6.7476
266,1,0.1260,0.0076,1.2817,0.6121,0.1638,6.2672
267,1,0.0873,0.0056,1.2809,0.6598,0.1959,6.4330
268,1,0.1047,0.0062,1.2830,0.5984,0.2623,6.7131
269,1,0.0921,0.0059,1.3019,0.5926,0.1759,6.1481
270,1,0.1173,0.0063,1.3066,0.5948,0.1552,6.0776
271,1,0.1028,0.0076,1.2983,0.7048,0.1905,6.6095
272,1,0.1073,0.0054,1.2942,0.7719,0.1491,6.5789
273,1,0.0925,0.0058,1.2758,0.5614,0.0965,6.0789
274,1,0.1100,0.0068,1.2920,0.6852,0.1759,6.4907
275,1,0.1011,0.0081,1.2729,0.6571,0.1714,6.4286
276,1,0.1222,0.0062,1.2852,0.5763,0.1017,6.6610
277,1,0.0977,0.0073,1.2547,0.6900,0.1900,6.3000
278,1,0.1100,0.0070,1.2744,0.6406,0.1562,6.1797
279,1,0.1000,0.0085,1.3154,0.7864,0.2330,6.3786
280,1,0.1124,0.0071,1.2870,0.5345,0.1638,6.4655
281,1,0.1034,0.0063,1.2885,0.5982,0.2054,6.0714
282,1,0.1183,0.0065,1.3020,0.5556,0.1190,6.1667
283,1,0.1031,0.0071,1.2596,0.5000,0.1735,6.5306
284,1,0.1061,0.0079,1.2927,0.5825,0.1748,6.8350
285,1,0.1169,0.0049,1.3040,0.6339,0.1339,6.7411
286,1,0.1138,0.0050,1.2472,0.6944,0.1389,6.4537
287,1,0.1137,0.0064,1.2475,0.5941,0.1485,6.4158
288,1,0.1181,0.0086,1.2937,0.6929,0.2071,6.2500
289,1,0.0914,0.0061,1.2792,0.6071,0.2619,6.3810
290,1,0.1165,0.0089,1.2414,0.6613,0.1452,6.4274
291,1,0.1036,0.0076,1.2789,0.6636,0.2150,6.5607
292,1,0.1285,0.0053,1.2697,0.6600,0.2300,7.0000
293,1,0.0929,0.0059,1.2998,0.6048,0.1855,6.3065
294,1,0.1180,0.0071,1.2838,0.5876,0.2062,6.3711
295,1,0.0993,0.0081,1.2684,0.5603,0.1897,6.4310
296,1,0.1116,0.0081,1.2747,0.6435,0.1739,6.5043
297,1,0.1103,0.0078,1.2427,0.6757,0.1892,6.5135
298,1,0.0993,0.0068,1.2418,0.6531,0.1735,6.7653
299,1,0.1358,0.0080,1.3108,0.5126,0.0924,6.5042
300,1,0.1217,0.0073,1.2665,0.5370,0.1481,6.5000
301,1,0.1005,0.0065,1.3114,0.6814,0.1504,6.4513
302,1,0.1121,0.0076,1.2776,0.5909,0.1818,6.4818
303,1,0.1016,0.0061,1.2988,0.6034,0.2328,6.4741
304,1,0.1010,0.0061,1.2715,0.5917,0.2167,6.5750
305,1,0.0946,0.0065,1.2950,0.6907,0.1649,6.5670
